PTRAN_QMT,QTITTRAN,ACAROMDENACKL_CIDADFEMET,ACAROMDENACKL_DHSAIOMADF,SideOfOrder
2391000,1000,439,2.02306E+13,2
2317000,1000,405,2.02307E+13,2
2350000,500,769,2.02307E+13,2
2279000,240,168,2.02312E+13,2
2305000,5000,112,2.02312E+13,2
2349000,1000,112,2.02312E+13,2
2349000,1302,112,2.02312E+13,2
2349000,425,112,2.02312E+13,2
2349000,1733,112,2.02312E+13,2
2349000,200,112,2.02312E+13,2
2349000,340,112,2.02312E+13,2
2288000,1000,331,2.02312E+13,2
2288000,4000,331,2.02312E+13,2
2300000,168,331,2.02312E+13,2
2365000,231,180,2.02312E+13,2
2260000,4000,180,2.02312E+13,2
2260000,10000,180,2.02312E+13,2
2260000,15000,180,2.02312E+13,2
2260000,2000,191,2.02312E+13,2
2260000,6000,180,2.02312E+13,2
2260000,9000,180,2.02312E+13,2
2260000,8000,180,2.02312E+13,2
2260000,9000,180,2.02312E+13,2
2260000,2000,180,2.02312E+13,2
2260000,5000,191,2.02312E+13,2
2260000,8000,180,2.02312E+13,2
2260000,6000,191,2.02312E+13,2
2260000,3000,180,2.02312E+13,2
2320000,600,179,2.02312E+13,2
2348000,400,126,2.02312E+13,2
2350000,243,125,2.02312E+13,2
2270000,950,112,2.02312E+13,2
2380000,210,168,2.02312E+13,2
2380000,15,168,2.02312E+13,2
2370000,800,112,2.02312E+13,2
2330000,6425,180,2.02312E+13,2
2279000,3000,123,2.02312E+13,2
2285000,200,765,2.02312E+13,2
2329000,230,168,2.02312E+13,2
2270000,243,112,2.02401E+13,2
2276000,46097,451,2.02401E+13,2
2260000,300,765,2.02401E+13,2
2375000,291,300,2.02401E+13,2
2280000,3842,405,2.02401E+13,2
2280000,658,405,2.02401E+13,2
2265000,1000,405,2.02401E+13,2
2300000,6000,405,2.02401E+13,2
2250000,10000,180,2.02401E+13,2
2250000,5000,180,2.02401E+13,2
2270000,5000,180,2.02401E+13,2
2290000,5000,180,2.02401E+13,2
2250000,5000,180,2.02401E+13,2
2270000,5000,180,2.02401E+13,2
2250000,5000,180,2.02401E+13,2
2250000,5000,180,2.02401E+13,2
2250000,5000,191,2.02401E+13,2
2250000,5000,180,2.02401E+13,2
2250000,4000,180,2.02401E+13,2
2250000,5000,180,2.02401E+13,2
2250000,5000,191,2.02401E+13,2
2250000,5000,180,2.02401E+13,2
2250000,500,439,2.02401E+13,2
2300000,500,439,2.02401E+13,2
2350000,500,439,2.02401E+13,2
2255000,2000,189,2.02401E+13,2
2366000,1000,157,2.02401E+13,2
2291000,248,778,2.02401E+13,2
2291000,1000,778,2.02401E+13,2
2291000,252,778,2.02401E+13,2
2250000,5000,189,2.02401E+13,2
2307000,1000,112,2.02401E+13,2
2300000,1400,777,2.02401E+13,2
2320000,4150,180,2.02402E+13,2
2334000,2,450,2.02402E+13,2
2322000,5000,112,2.02402E+13,2
2290000,37039,156,2.02403E+13,2
2291000,230,331,2.02403E+13,2
2281000,1000,331,2.02403E+13,2
2291000,500,112,2.02403E+13,2
2284000,700,451,2.02403E+13,2
2284000,2386,451,2.02403E+13,2
2291000,136,331,2.02403E+13,2
2291000,605,690,2.02403E+13,2
2291000,5120,690,2.02403E+13,2
2297000,250,777,2.02403E+13,2
2250000,7100,777,2.02403E+13,2
2298000,100000,300,2.02403E+13,2
2300000,440,769,2.02403E+13,2
2310000,220,112,2.02403E+13,2
2357000,500,112,2.02403E+13,2
2357000,4500,112,2.02403E+13,2
2300000,20000,112,2.02403E+13,2
2250000,500,405,2.02403E+13,2
2270000,700,405,2.02403E+13,2
2357000,1000,112,2.02403E+13,2
2250000,4354,112,2.02403E+13,2
2346000,2000,113,2.02403E+13,2
2346000,12805,113,2.02403E+13,2
2346000,12000,113,2.02403E+13,2
2346000,1450,113,2.02403E+13,2
2346000,3000,113,2.02403E+13,2
2346000,2500,113,2.02403E+13,2
2346000,466245,113,2.02403E+13,2
2250000,95000,347,2.02403E+13,2
2255000,1130,777,2.02403E+13,2
2350000,5000,450,2.02403E+13,2
2294000,9000,436,2.02403E+13,2
2350000,1000,112,2.02403E+13,2
2319000,4000,112,2.02403E+13,2
2350000,587,765,2.02403E+13,2
2279000,1760,112,2.02403E+13,2
2279000,2140,112,2.02403E+13,2
2299000,2000,112,2.02403E+13,2
2296000,3000,112,2.02403E+13,2
2260000,50000,192,2.02403E+13,2
2280000,50000,192,2.02403E+13,2
2250000,6913,777,2.02403E+13,2
2250000,10000,777,2.02403E+13,2
2300000,15292,777,2.02403E+13,2
2290000,300,112,2.02403E+13,2
2274000,354,112,2.02403E+13,2
2274000,100,112,2.02403E+13,2
2299000,500,112,2.02403E+13,2
2250000,10000,180,2.02403E+13,2
2257000,10000,186,2.02403E+13,2
2328000,850,615,2.02403E+13,2
2260000,230,117,2.02403E+13,2
2250000,396,112,2.02403E+13,2
2284000,2000,179,2.02403E+13,2
2286000,9000,300,2.02403E+13,2
2274000,5000,186,2.02403E+13,2
2280000,5578,112,2.02403E+13,2
2353000,3000,451,2.02403E+13,2
2353000,1373,451,2.02403E+13,2
2353000,7000,451,2.02403E+13,2
2250000,2000,135,2.02403E+13,2
2344000,3500,771,2.02403E+13,2
2360000,5500,112,2.02403E+13,2
2280000,250,331,2.02403E+13,2
2250000,1627,158,2.02403E+13,2
2255000,2500,116,2.02403E+13,2
2256000,2000,189,2.02403E+13,2
2259000,53900,112,2.02403E+13,2
2352000,10000,112,2.02403E+13,2
2352000,253,769,2.02403E+13,2
2352000,268,331,2.02403E+13,2
2352000,265,331,2.02403E+13,2
2352000,68,331,2.02403E+13,2
2297000,5000,331,2.02403E+13,2
2317000,1000,170,2.02403E+13,2
2343000,1000,112,2.02403E+13,2
2343000,2500,765,2.02403E+13,2
2343000,220,331,2.02403E+13,2
2250000,500,331,2.02403E+13,2
2265000,7000,331,2.02403E+13,2
2300000,10900,112,2.02403E+13,2
2299000,218,331,2.02403E+13,2
2250000,70000,126,2.02403E+13,2
2259000,3700,777,2.02403E+13,2
2343000,500,112,2.02403E+13,2
2343000,14220,112,2.02403E+13,2
2343000,5780,112,2.02403E+13,2
2269000,18811,331,2.02403E+13,2
2269000,789,331,2.02403E+13,2
2266000,900,331,2.02403E+13,2
2249000,50000,178,2.02403E+13,2
2348000,500,153,2.02403E+13,1
2351000,500,139,2.02403E+13,2
2350000,500,139,2.02403E+13,2
2354000,500,139,2.02403E+13,2
2355000,500,139,2.02403E+13,2
2356000,500,139,2.02403E+13,2
2358000,500,139,2.02403E+13,2
2354000,40310,139,2.02403E+13,1
2353000,500,139,2.02403E+13,2
2354000,500,139,2.02403E+13,2
2350000,500,139,2.02403E+13,2
2349000,500,139,2.02403E+13,2
2349000,500,139,2.02403E+13,2
2353000,500,139,2.02403E+13,2
